,row,git_commit,gh_project_name,gh_is_pr,git_merged_with,gh_lang,git_branch,gh_first_commit_created_at,gh_team_size,git_commits,git_num_commits,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,gh_src_churn,gh_test_churn,gh_files_added,gh_files_deleted,gh_files_modified,gh_tests_added,gh_tests_deleted,gh_src_files,gh_doc_files,gh_other_files,gh_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,tr_build_id,gh_pull_req_num,tr_status,tr_duration,tr_started_at,tr_jobs,tr_build_number,tr_job_id,tr_lan,tr_setup_time,tr_analyzer,tr_frameworks,tr_tests_ok,tr_tests_fail,tr_tests_run,tr_tests_skipped,tr_failed_tests,tr_testduration,tr_purebuildduration,tr_tests_ran,tr_tests_failed,git_num_committers,tr_num_jobs,tr_prev_build,tr_ci_latency
25,26,3ab53e42f0fb599832a0963a39ca94547239d89a,47deg/appsly-android-rest,False,,java,master,2013-09-04 12:58:38,3,47e39ce40e3f03718e7ef9101701cccfe8610c33,1,0,0,0,217,0,2,0,4,0,0,5,0,1,9,2355,0.0,0.0,0.0,True,,10971867,,errored,86.0,2013-09-04 11:58:38,"[10971868, 10971870, 10971871, 10971869]",21,10971871,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
56,57,13ad8c06bef212b9270eea5547a109da87e4e866,47deg/appsly-android-rest,False,,java,master,2013-11-15 08:04:45,4,295f858a9a55e943ab884b4019174fd432878722,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,14011892,,errored,62.0,2013-11-15 08:04:45,"[14011893, 14011894, 14011895, 14011896]",31,14011900,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
61,62,13ad8c06bef212b9270eea5547a109da87e4e866,47deg/appsly-android-rest,False,,java,restrung-1.1,2013-11-15 08:04:58,4,295f858a9a55e943ab884b4019174fd432878722,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,14011899,,errored,49.0,2013-11-15 08:04:58,"[14011900, 14011901, 14011902, 14011903]",30,14011894,java,0.0,java-ant,,,,,,,,,False,False,1,4,7550.0,-1
20,21,47e39ce40e3f03718e7ef9101701cccfe8610c33,47deg/appsly-android-rest,False,,java,master,2013-09-03 10:11:55,3,5f7b19300c6ee2ccb9797631b35499ac1c3c3f4a,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,2355,0.0,0.0,0.0,True,,10925631,,errored,42.0,2013-09-03 09:11:55,"[10925635, 10925633, 10925632, 10925634]",20,10925634,java,0.0,java-ant,,,,,,,,,False,False,1,4,4247.0,-1
45,46,903e8acc57d6eadc1d4bb9a4e353f08bd190edfe,47deg/appsly-android-rest,False,,java,master,2013-10-24 09:09:36,4,c952c1a5e77bf525fd13fb623f90bf2f4a812898,1,0,0,0,12,13,0,0,3,0,0,3,0,0,2,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,12972963,,errored,61.0,2013-10-24 08:09:36,"[12972964, 12972965, 12972966, 12972967]",28,12972966,java,0.0,java-ant,,,,,,,,,False,False,1,4,4991.0,-1
75,76,a951ca737d68c712fde809555f1e00bd4a4420a7,47deg/appsly-android-rest,False,,java,master,2013-11-15 08:13:33,4,8c95d75168f2ea1cff49ae809c4baa6b2725bc8a,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,14012129,,errored,76.0,2013-11-15 08:13:33,"[14012130, 14012131, 14012132, 14012133]",33,14012133,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
66,67,13ad8c06bef212b9270eea5547a109da87e4e866,47deg/appsly-android-rest,False,,java,restrung-1.1,2013-11-15 08:04:58,4,295f858a9a55e943ab884b4019174fd432878722,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,14011899,,errored,49.0,2013-11-15 08:04:58,"[14011900, 14011901, 14011902, 14011903]",31,14011901,java,0.0,java-ant,,,,,,,,,False,False,1,4,8318.0,-1
59,60,13ad8c06bef212b9270eea5547a109da87e4e866,47deg/appsly-android-rest,False,,java,master,2013-11-15 08:04:45,4,295f858a9a55e943ab884b4019174fd432878722,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,14011892,,errored,62.0,2013-11-15 08:04:45,"[14011893, 14011894, 14011895, 14011896]",31,14011901,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
5,6,9766eb141693fceb2340aa19059ac7081eb0b215,47deg/appsly-android-rest,False,,java,master,2013-08-17 00:42:26,3,7086c22bb72fa58e07968a292b3c06adce0491c2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2318,0.0,0.0,0.0,True,,10297672,,errored,47.0,2013-08-16 23:42:26,"[10297676, 10297674, 10297673, 10297675]",16,10297675,java,0.0,java-ant,,,,,,,,,False,False,1,4,4277.0,-1
37,38,36ebebad728ebb5d41fc1e6cd97a129fec191af3,47deg/appsly-android-rest,False,,java,master,2013-10-15 10:01:26,4,3b5ce759b870e0c0171de34ac883a41974635c85,1,0,0,0,120,222,4,0,2,0,1,5,0,1,11,2495,80.9619238476954,0.801603206412826,4.00801603206413,True,,12559368,,errored,49.0,2013-10-15 09:01:26,"[12559369, 12559370, 12559371, 12559372]",26,12559370,java,0.0,java-ant,,,,,,,,,False,False,1,4,4991.0,-1
